permno,adate,qdate,public_date,CAPEI,evm,pe_exi,pe_inc,npm,roa,roe,de_ratio,quick_ratio,sale_nwc,TICKER
25785,12/31/2003,9/30/2004,1/31/2005,15.844,9.823,9.475,10.707,0.017,0.067,0.146,21.697,,,F
25785,12/31/2004,12/31/2004,2/28/2005,23.195,8.455,7.028,7.312,0.021,0.079,0.172,17.185,,,F
25785,12/31/2004,12/31/2004,3/31/2005,20.79,8.455,6.294,6.549,0.021,0.079,0.172,17.185,,,F
25785,12/31/2004,12/31/2004,4/30/2005,16.716,8.455,5.061,5.266,0.021,0.079,0.172,17.185,,,F
25785,12/31/2004,3/31/2005,5/31/2005,15.891,8.725,7.921,8.18,0.015,0.075,0.128,18.415,,,F
25785,12/31/2004,3/31/2005,6/30/2005,16.305,8.725,8.127,8.393,0.015,0.075,0.128,18.415,,,F
25785,12/31/2004,3/31/2005,7/31/2005,17.101,8.725,8.524,8.803,0.015,0.075,0.128,18.415,,,F
25785,12/31/2004,6/30/2005,8/31/2005,19.018,8.788,7.729,8.04,0.015,0.074,0.13,17.928,,,F
25785,12/31/2004,6/30/2005,9/30/2005,18.808,8.788,7.643,7.952,0.015,0.074,0.13,17.928,,,F
25785,12/31/2004,6/30/2005,10/31/2005,15.871,8.788,6.45,6.71,0.015,0.074,0.13,17.928,,,F
25785,12/31/2004,9/30/2005,11/30/2005,20.496,8.979,10.291,9.565,0.009,0.071,0.076,17.609,,,F
25785,12/31/2004,9/30/2005,12/31/2005,19.462,8.979,9.772,9.082,0.009,0.071,0.076,17.609,,,F
25785,12/31/2004,9/30/2005,1/31/2006,21.63,8.979,10.861,10.094,0.009,0.071,0.076,17.609,,,F
25785,12/31/2005,12/31/2005,2/28/2006,69.129,8.063,9.161,10.351,0.009,0.074,0.08,18.963,,,F
25785,12/31/2005,12/31/2005,3/31/2006,69.294,8.063,9.149,10.338,0.009,0.074,0.08,18.963,,,F
25785,12/31/2005,12/31/2005,4/30/2006,60.635,8.063,7.989,9.026,0.009,0.074,0.08,18.963,,,F
25785,12/31/2005,3/31/2006,5/31/2006,49.227,9.817,-18.359,-14.039,-0.004,0.063,-0.032,19.025,,,F
25785,12/31/2005,3/31/2006,6/30/2006,47.646,9.817,-17.769,-13.588,-0.004,0.063,-0.032,19.025,,,F
25785,12/31/2005,3/31/2006,7/31/2006,45.858,9.817,-17.103,-13.078,-0.004,0.063,-0.032,19.025,,,F
